"date_id","balance_id","balance_date","account_id","account_number","account_type","credit_score","currency_code","currency_name","opening_balance","closing_balance","average_balance"
1273,66896,"2023-06-26",96,2342810792,Savings,816,INR,Indian Rupee,474698.43,394686.85,606258.585
1514,14488,"2024-02-22",71,6983934777,Investment,456,EUR,Euro,480049.73,448171.52,233108.695
1644,925,"2024-07-01",47,5255412319,Savings,313,EUR,Euro,620295.38,110414.65,922432.21
1645,72440,"2024-07-02",85,9356198692,Savings,506,EUR,Euro,38312.56,296456.35,611517.675
915,88612,"2022-07-03",64,2829800635,Investment,521,USD,Us Dollar,883796.22,736079.45,464060.88
1000,68436,"2022-09-26",80,2743334768,Investment,398,USD,Us Dollar,485543.38,712824.47,400794.66
1430,25006,"2023-11-30",50,7268934381,Savings,666,EUR,Euro,694745.09,898989.64,868967.27
733,39991,"2022-01-02",91,8905846858,Investment,404,USD,Us Dollar,86132.78,212970.59,504973.455
532,39308,"2021-06-15",88,5866494339,Investment,422,USD,Us Dollar,96430.83,613463.04,253804.09
1256,12012,"2023-06-09",30,7697169500,Checking,553,EUR,Euro,957989.26,657675.4,632916.61
1036,72192,"2022-11-01",34,2387898494,Investment,827,INR,Indian Rupee,610255.35,938209.12,290706.76
715,75339,"2021-12-15",27,2798483663,Investment,698,INR,Indian Rupee,562499.71,711016.43,688027.36
227,17788,"2020-08-14",76,3040393128,Checking,439,INR,Indian Rupee,185369.37,527645.47,155545.675
338,24959,"2020-12-03",96,2342810792,Savings,816,INR,Indian Rupee,588746.44,659481.07,559656.5
73,54707,"2020-03-13",89,2389511583,Savings,819,INR,Indian Rupee,814553.8,310195.83,631544.24
136,66009,"2020-05-15",43,8138063800,Savings,601,EUR,Euro,305592.38,275267.41,494173.06
762,56731,"2022-01-31",70,5975269469,Checking,732,INR,Indian Rupee,953755.67,879947.42,175122.445
876,14207,"2022-05-25",89,2389511583,Savings,819,USD,Us Dollar,603091.69,41780.31,727837.61
623,24387,"2021-09-14",49,9139215473,Savings,443,INR,Indian Rupee,765464.54,89639.42,398458.685
183,51047,"2020-07-01",7,9846911760,Investment,728,EUR,Euro,167111.57,501144.96,756642.28
916,41747,"2022-07-04",14,7850976653,Investment,698,USD,Us Dollar,428665.28,496069.41,503163.945
50,87745,"2020-02-19",69,8735587101,Checking,836,USD,Us Dollar,406003.23,341481.12,433349.425
299,47305,"2020-10-25",88,5866494339,Investment,422,USD,Us Dollar,452215.14,53862.29,320977.395
818,56174,"2022-03-28",99,6656233056,Investment,418,USD,Us Dollar,354796.07,189450.53,519891.015
11,23651,"2020-01-11",13,8512646775,Savings,664,USD,Us Dollar,423858.64,506451.55,392382.94
1433,26438,"2023-12-03",59,5988217223,Checking,760,INR,Indian Rupee,506709.98,175587.48,620540.16
1235,14034,"2023-05-19",88,5866494339,Investment,422,INR,Indian Rupee,934964.96,819417.31,786906.835
783,87680,"2022-02-21",66,4959466220,Investment,521,USD,Us Dollar,221867.92,794681.44,670212.055
1204,68763,"2023-04-18",93,8902869633,Savings,721,INR,Indian Rupee,301371.61,161602.5,296919.45
1333,86128,"2023-08-25",81,1133303244,Investment,729,EUR,Euro,64519.36,409513.49,537904.155
1204,89852,"2023-04-18",62,2171840078,Savings,836,USD,Us Dollar,122563.31,576721.73,415099.655
1612,35697,"2024-05-30",68,4155141978,Investment,700,EUR,Euro,527551.53,218434.49,437789.255
469,26397,"2021-04-13",35,3938325125,Savings,653,USD,Us Dollar,31099.52,628854.6,363791.785
252,30698,"2020-09-08",75,2100030995,Investment,357,USD,Us Dollar,447026.61,977352.49,553206.075
1449,76811,"2023-12-19",16,1810851648,Savings,657,EUR,Euro,301775.91,713797.9,496713.145
889,22898,"2022-06-07",49,9139215473,Savings,443,EUR,Euro,676425.06,473591.7,542685.375
1160,87937,"2023-03-05",76,3040393128,Checking,439,EUR,Euro,36077.2,521310.77,459440.64
1688,71780,"2024-08-14",78,7718346871,Checking,775,USD,Us Dollar,222178.03,24439.77,549755.93
1510,69546,"2024-02-18",26,5159171446,Savings,508,INR,Indian Rupee,731103.25,359506.45,557760.76
263,68313,"2020-09-19",24,1402844576,Savings,695,EUR,Euro,439799.51,925630.86,562936.69
221,78041,"2020-08-08",87,3297859812,Checking,628,USD,Us Dollar,684288.86,90549.18,506490.045
532,34128,"2021-06-15",44,6051679619,Checking,539,INR,Indian Rupee,682942.92,774316.8,548239.825
1286,99720,"2023-07-09",73,6065704667,Checking,350,INR,Indian Rupee,851362.85,813907.96,661140.55
1771,76616,"2024-11-05",53,9367791903,Investment,461,INR,Indian Rupee,904920.55,360205.46,252741.145
922,10556,"2022-07-10",16,1810851648,Savings,657,EUR,Euro,7683.11,121603.41,765581.62
1826,65688,"2024-12-30",73,6065704667,Checking,350,EUR,Euro,275962.32,168763.05,248067.195
1142,66442,"2023-02-15",43,8138063800,Savings,601,INR,Indian Rupee,694387.9,433943.48,873123.295
831,71018,"2022-04-10",71,6983934777,Investment,456,EUR,Euro,530477.54,35765.16,326147.815
663,47053,"2021-10-24",96,2342810792,Savings,816,USD,Us Dollar,426030.62,275642.81,299291.02
1177,7600,"2023-03-22",76,3040393128,Checking,439,USD,Us Dollar,932373.51,629441.76,86292.56
21,95457,"2020-01-21",38,5646590499,Investment,814,USD,Us Dollar,171191.39,391639.53,465080.54
773,35125,"2022-02-11",83,7156618058,Savings,644,INR,Indian Rupee,842809.93,390544.05,280397.14
1246,15430,"2023-05-30",92,2027696396,Investment,719,USD,Us Dollar,819205.29,442579.87,358724.26
108,67127,"2020-04-17",6,9559156298,Investment,490,USD,Us Dollar,335719.21,496554.34,703414.725
746,46959,"2022-01-15",10,2768618389,Savings,681,INR,Indian Rupee,788144.61,284548.95,722331.12
1431,82554,"2023-12-01",100,7146993266,Savings,670,EUR,Euro,36313.29,372039.62,290435.755
1023,85395,"2022-10-19",31,5341948287,Savings,705,INR,Indian Rupee,193402.87,40937.89,421084.385
950,62393,"2022-08-07",52,5623049910,Checking,438,EUR,Euro,813896.5,155909.99,679861.94
1684,67165,"2024-08-10",5,8185036628,Savings,709,EUR,Euro,309278.32,12412.98,791188.01
168,2156,"2020-06-16",94,4187234787,Savings,615,USD,Us Dollar,720156.59,790915.54,466537.34
1678,16901,"2024-08-04",87,3297859812,Checking,628,EUR,Euro,894819.22,425668.48,375013.18
880,9621,"2022-05-29",46,2335408268,Checking,561,INR,Indian Rupee,570033.23,703023.11,403801.795
1121,56307,"2023-01-25",82,9992038947,Investment,664,USD,Us Dollar,649951.59,315419.65,531237.0
1441,79902,"2023-12-11",53,9367791903,Investment,461,INR,Indian Rupee,695972.75,985996.35,401580.82
326,79346,"2020-11-21",49,9139215473,Savings,443,EUR,Euro,885942.51,518563.23,631518.89
335,81220,"2020-11-30",83,7156618058,Savings,644,EUR,Euro,717958.08,18419.27,472343.79
256,92327,"2020-09-12",93,8902869633,Savings,721,EUR,Euro,917438.26,877734.06,440271.045
635,60592,"2021-09-26",5,8185036628,Savings,709,EUR,Euro,98486.09,71390.65,531765.57
592,49162,"2021-08-14",67,1594417161,Investment,415,INR,Indian Rupee,928336.48,710269.59,205354.71
1232,6896,"2023-05-16",38,5646590499,Investment,814,EUR,Euro,664765.36,743605.96,545203.27
388,25966,"2021-01-22",65,3274150100,Investment,660,USD,Us Dollar,522033.78,962280.93,229193.82
1145,63041,"2023-02-18",41,3302270666,Savings,726,USD,Us Dollar,8715.04,523279.61,529070.37
161,886,"2020-06-09",95,1905214712,Checking,323,EUR,Euro,867778.38,268005.2,584347.15
405,35408,"2021-02-08",47,5255412319,Savings,313,INR,Indian Rupee,324777.23,235759.8,530746.855
1035,49310,"2022-10-31",87,3297859812,Checking,628,EUR,Euro,671584.48,622919.16,415569.98
1198,70205,"2023-04-12",63,7414476694,Checking,751,INR,Indian Rupee,261194.71,719216.75,527319.76
1552,4604,"2024-03-31",68,4155141978,Investment,700,USD,Us Dollar,885501.79,787352.88,700379.535
391,53233,"2021-01-25",32,7493577945,Investment,678,USD,Us Dollar,306046.02,34329.07,560680.815
1350,84274,"2023-09-11",67,1594417161,Investment,415,USD,Us Dollar,173599.53,245809.93,459604.36
857,12448,"2022-05-06",51,8023173848,Savings,789,EUR,Euro,579119.5,698730.08,326803.545
697,96861,"2021-11-27",96,2342810792,Savings,816,EUR,Euro,403930.73,744001.54,541336.58
1811,68665,"2024-12-15",65,3274150100,Investment,660,USD,Us Dollar,232766.33,805087.36,613486.115
294,90755,"2020-10-20",2,6556879216,Savings,462,EUR,Euro,353707.48,378443.27,567291.435
1752,56060,"2024-10-17",15,1075123078,Savings,411,INR,Indian Rupee,166407.36,445878.17,315371.155
623,69011,"2021-09-14",88,5866494339,Investment,422,INR,Indian Rupee,560603.64,440815.14,594686.745
1749,14613,"2024-10-14",22,3816279528,Investment,674,INR,Indian Rupee,782662.34,815911.35,584926.88
1606,8226,"2024-05-24",59,5988217223,Checking,760,USD,Us Dollar,966417.12,101262.73,150760.385
1594,5385,"2024-05-12",34,2387898494,Investment,827,USD,Us Dollar,25742.73,240639.23,386238.075
762,28069,"2022-01-31",64,2829800635,Investment,521,EUR,Euro,152980.24,415710.83,502029.995
1035,35658,"2022-10-31",66,4959466220,Investment,521,EUR,Euro,490680.26,947881.76,579222.6
313,54480,"2020-11-08",11,1378115510,Savings,677,EUR,Euro,887445.23,698505.99,864152.76
1612,57321,"2024-05-30",19,6221773017,Investment,476,EUR,Euro,112062.23,812563.74,298106.265
196,22631,"2020-07-14",34,2387898494,Investment,827,EUR,Euro,766264.61,726942.1,236112.875
426,59535,"2021-03-01",46,2335408268,Checking,561,INR,Indian Rupee,10375.34,262672.56,477138.065
40,17386,"2020-02-09",79,2507273526,Savings,778,USD,Us Dollar,334041.44,757510.65,472563.36
493,86859,"2021-05-07",54,3249098952,Savings,523,INR,Indian Rupee,647467.07,597486.72,499183.49
803,22933,"2022-03-13",63,7414476694,Checking,751,EUR,Euro,144818.47,975503.07,800744.6
523,53227,"2021-06-06",14,7850976653,Investment,698,EUR,Euro,348787.54,894799.32,350268.08
860,92490,"2022-05-09",74,8466553961,Checking,513,USD,Us Dollar,597654.76,971592.77,731853.0
527,87905,"2021-06-10",1,4051390763,Investment,310,EUR,Euro,395553.05,621719.05,861080.98
1650,59377,"2024-07-07",67,1594417161,Investment,415,EUR,Euro,776034.46,95201.1,622103.865
987,56200,"2022-09-13",82,9992038947,Investment,664,EUR,Euro,379596.96,119501.01,539236.72
367,26994,"2021-01-01",72,9317981806,Investment,618,EUR,Euro,86399.12,989739.97,813161.555
1530,86200,"2024-03-09",100,7146993266,Savings,670,USD,Us Dollar,226069.68,707708.09,439651.655
561,60900,"2021-07-14",85,9356198692,Savings,506,INR,Indian Rupee,919246.97,389373.66,527160.445
581,80794,"2021-08-03",31,5341948287,Savings,705,USD,Us Dollar,969199.95,344330.78,609931.45
1076,30506,"2022-12-11",78,7718346871,Checking,775,USD,Us Dollar,16846.53,628399.69,571663.835
353,37224,"2020-12-18",37,3399529185,Savings,804,EUR,Euro,105035.55,232202.5,284900.74
639,98367,"2021-09-30",18,1210678639,Investment,518,USD,Us Dollar,616218.65,772593.81,419400.515
1253,91579,"2023-06-06",39,9641676419,Checking,792,EUR,Euro,260394.55,451054.72,552719.88
1439,15046,"2023-12-09",100,7146993266,Savings,670,INR,Indian Rupee,455354.5,609520.56,253448.605
1623,72452,"2024-06-10",7,9846911760,Investment,728,EUR,Euro,915456.6,889778.02,638326.8
900,86896,"2022-06-18",27,2798483663,Investment,698,INR,Indian Rupee,544491.43,492418.12,137751.06
767,88163,"2022-02-05",46,2335408268,Checking,561,EUR,Euro,410347.84,668951.14,307194.33
1208,45379,"2023-04-22",13,8512646775,Savings,664,EUR,Euro,254356.57,463922.77,197761.4
152,75984,"2020-05-31",31,5341948287,Savings,705,INR,Indian Rupee,239785.41,729678.73,909650.875
488,58213,"2021-05-02",71,6983934777,Investment,456,USD,Us Dollar,67526.71,154758.57,665554.715
1430,76128,"2023-11-30",91,8905846858,Investment,404,INR,Indian Rupee,964753.25,922759.64,576551.135
46,80880,"2020-02-15",25,9343070075,Investment,339,USD,Us Dollar,895281.62,607602.66,440252.76
638,28172,"2021-09-29",90,6196253681,Savings,834,INR,Indian Rupee,847800.77,915357.43,589844.885
482,89247,"2021-04-26",64,2829800635,Investment,521,INR,Indian Rupee,949810.41,857460.05,655538.875
1741,52109,"2024-10-06",85,9356198692,Savings,506,EUR,Euro,813301.9,7544.83,241958.165
826,86591,"2022-04-05",15,1075123078,Savings,411,INR,Indian Rupee,653943.51,929155.87,259192.505
1482,11832,"2024-01-21",17,6920920144,Checking,748,INR,Indian Rupee,205642.97,806687.96,700507.135
1048,14599,"2022-11-13",61,7750543145,Savings,640,USD,Us Dollar,122714.13,436406.99,614534.15
1499,51020,"2024-02-07",31,5341948287,Savings,705,INR,Indian Rupee,261001.95,255884.79,458159.91
514,63457,"2021-05-28",71,6983934777,Investment,456,INR,Indian Rupee,529725.3,175365.4,750594.36
68,43745,"2020-03-08",58,5002360478,Investment,467,USD,Us Dollar,250058.37,731150.22,731988.27
1117,85753,"2023-01-21",69,8735587101,Checking,836,USD,Us Dollar,957632.69,402870.29,507832.56
1537,25709,"2024-03-16",23,3126616099,Savings,443,INR,Indian Rupee,184713.29,386451.83,414998.88
1524,38679,"2024-03-03",33,2971836125,Checking,359,EUR,Euro,518754.05,295769.99,809074.225
1420,59478,"2023-11-20",77,8745713343,Checking,601,EUR,Euro,79480.28,248377.37,960466.55
806,80858,"2022-03-16",34,2387898494,Investment,827,INR,Indian Rupee,717131.87,629044.84,416747.425
1439,75797,"2023-12-09",13,8512646775,Savings,664,INR,Indian Rupee,820104.33,963110.07,302563.82
1140,2597,"2023-02-13",78,7718346871,Checking,775,INR,Indian Rupee,627484.57,119917.54,344933.62
1251,7150,"2023-06-04",7,9846911760,Investment,728,USD,Us Dollar,851324.84,260001.48,556084.855
972,55086,"2022-08-29",45,8713903249,Investment,540,USD,Us Dollar,124978.74,485879.07,588291.1
288,79571,"2020-10-14",76,3040393128,Checking,439,EUR,Euro,143166.62,226361.67,622707.415
1554,76457,"2024-04-02",81,1133303244,Investment,729,INR,Indian Rupee,898285.47,151452.37,471263.46
1567,85482,"2024-04-15",82,9992038947,Investment,664,EUR,Euro,803072.03,252692.55,182297.125
1506,31782,"2024-02-14",99,6656233056,Investment,418,INR,Indian Rupee,837665.11,647824.64,782189.74
1729,47430,"2024-09-24",93,8902869633,Savings,721,INR,Indian Rupee,485141.56,771643.72,511510.915
1164,9440,"2023-03-09",93,8902869633,Savings,721,USD,Us Dollar,596398.31,958666.82,400449.805
970,96311,"2022-08-27",49,9139215473,Savings,443,USD,Us Dollar,225975.38,703762.73,818961.86
1091,8810,"2022-12-26",24,1402844576,Savings,695,USD,Us Dollar,542477.22,469497.18,656144.425
1746,36871,"2024-10-11",49,9139215473,Savings,443,USD,Us Dollar,986607.47,501323.5,588787.335
1206,53172,"2023-04-20",92,2027696396,Investment,719,USD,Us Dollar,539911.4,162202.96,512495.005
236,86135,"2020-08-23",56,9543734386,Savings,612,USD,Us Dollar,121416.27,968901.32,799756.11
52,11479,"2020-02-21",54,3249098952,Savings,523,INR,Indian Rupee,460816.47,188134.24,871282.55
1293,19006,"2023-07-16",99,6656233056,Investment,418,USD,Us Dollar,547078.13,26104.32,454582.77
894,57971,"2022-06-12",66,4959466220,Investment,521,USD,Us Dollar,252570.18,900653.08,460117.275
937,59016,"2022-07-25",68,4155141978,Investment,700,INR,Indian Rupee,745780.4,158950.7,823129.275
785,47806,"2022-02-23",57,2988264762,Checking,843,EUR,Euro,588401.4,156489.36,734664.83
1585,20165,"2024-05-03",74,8466553961,Checking,513,USD,Us Dollar,339465.45,691359.88,272834.705
769,93091,"2022-02-07",100,7146993266,Savings,670,INR,Indian Rupee,469031.11,509458.95,950852.27
570,76977,"2021-07-23",36,8666354042,Savings,558,EUR,Euro,703542.35,487252.93,144176.225
419,39573,"2021-02-22",63,7414476694,Checking,751,USD,Us Dollar,833113.46,818698.21,522923.735
723,48361,"2021-12-23",87,3297859812,Checking,628,INR,Indian Rupee,543120.95,972253.56,654298.18
891,72034,"2022-06-09",99,6656233056,Investment,418,EUR,Euro,278440.3,772170.52,256689.045
1018,21451,"2022-10-14",69,8735587101,Checking,836,INR,Indian Rupee,663856.54,234250.95,813824.05
1300,73236,"2023-07-23",26,5159171446,Savings,508,EUR,Euro,32342.22,830170.1,359220.825
363,45269,"2020-12-28",78,7718346871,Checking,775,USD,Us Dollar,974710.03,298557.56,552261.04
870,34591,"2022-05-19",20,5244343629,Savings,800,INR,Indian Rupee,502272.72,877194.28,158547.165
1201,38893,"2023-04-15",92,2027696396,Investment,719,EUR,Euro,334062.59,835908.86,545328.74
609,4294,"2021-08-31",52,5623049910,Checking,438,USD,Us Dollar,176726.91,802986.57,565327.105
895,62110,"2022-06-13",3,4467657561,Checking,576,INR,Indian Rupee,791942.59,701237.4,475324.69
210,71961,"2020-07-28",19,6221773017,Investment,476,USD,Us Dollar,874588.05,309711.78,284017.035
274,16325,"2020-09-30",5,8185036628,Savings,709,USD,Us Dollar,77863.02,612409.91,448106.695
238,45922,"2020-08-25",39,9641676419,Checking,792,USD,Us Dollar,36778.82,907430.5,735389.495
294,93921,"2020-10-20",42,4596726978,Savings,593,INR,Indian Rupee,696144.93,936157.89,351178.28
345,85802,"2020-12-10",24,1402844576,Savings,695,USD,Us Dollar,512788.68,299171.22,545106.74
167,50244,"2020-06-15",66,4959466220,Investment,521,EUR,Euro,921644.07,951705.46,749588.48
1217,22827,"2023-05-01",37,3399529185,Savings,804,EUR,Euro,740382.53,600808.22,301811.51
887,79248,"2022-06-05",60,8330786189,Savings,416,INR,Indian Rupee,734747.54,410635.27,391533.265
191,57408,"2020-07-09",13,8512646775,Savings,664,USD,Us Dollar,710952.28,213726.12,635232.37
1071,41228,"2022-12-06",87,3297859812,Checking,628,USD,Us Dollar,125344.89,651043.44,341327.995
203,8882,"2020-07-21",36,8666354042,Savings,558,INR,Indian Rupee,179467.0,859241.93,580559.685
1260,97262,"2023-06-13",38,5646590499,Investment,814,USD,Us Dollar,445498.45,723197.57,724224.635
761,24271,"2022-01-30",62,2171840078,Savings,836,EUR,Euro,745351.42,619441.15,810334.24
1745,93006,"2024-10-10",4,9287849202,Investment,790,INR,Indian Rupee,98733.91,65283.06,614249.59
250,9479,"2020-09-06",54,3249098952,Savings,523,INR,Indian Rupee,299474.41,948021.06,793407.315
337,40322,"2020-12-02",32,7493577945,Investment,678,EUR,Euro,70646.51,668306.13,538898.795
1802,6112,"2024-12-06",19,6221773017,Investment,476,EUR,Euro,149158.14,541814.65,453799.98
73,50325,"2020-03-13",93,8902869633,Savings,721,INR,Indian Rupee,555518.33,145316.86,227705.995
823,11814,"2022-04-02",3,4467657561,Checking,576,INR,Indian Rupee,388639.51,565135.45,668549.23
352,59506,"2020-12-17",15,1075123078,Savings,411,INR,Indian Rupee,464514.93,331935.54,420397.74
332,34157,"2020-11-27",4,9287849202,Investment,790,USD,Us Dollar,752932.49,970913.53,648711.375
1534,87483,"2024-03-13",84,2835651681,Investment,828,USD,Us Dollar,744882.29,342342.08,385722.005
439,38454,"2021-03-14",63,7414476694,Checking,751,USD,Us Dollar,177862.53,627830.01,351366.035
955,14211,"2022-08-12",71,6983934777,Investment,456,INR,Indian Rupee,381388.31,950868.81,298426.92
1434,23983,"2023-12-04",4,9287849202,Investment,790,INR,Indian Rupee,828390.16,93590.25,489891.595
1096,83448,"2022-12-31",90,6196253681,Savings,834,USD,Us Dollar,475474.25,330599.78,622782.16
81,92409,"2020-03-21",28,1764838640,Investment,783,USD,Us Dollar,47965.08,530386.24,240101.15
1229,91606,"2023-05-13",10,2768618389,Savings,681,EUR,Euro,935753.78,870571.77,447274.66
1553,6559,"2024-04-01",55,4095934095,Savings,315,INR,Indian Rupee,536563.03,894388.24,888857.355
518,84458,"2021-06-01",88,5866494339,Investment,422,USD,Us Dollar,520298.73,20972.21,293258.42
1379,5113,"2023-10-10",68,4155141978,Investment,700,INR,Indian Rupee,954710.02,60015.24,477058.465
1242,31814,"2023-05-26",79,2507273526,Savings,778,USD,Us Dollar,254548.73,808833.34,600455.065
497,30627,"2021-05-11",41,3302270666,Savings,726,USD,Us Dollar,751183.56,679991.3,667000.92
1285,12387,"2023-07-08",33,2971836125,Checking,359,INR,Indian Rupee,539063.06,46192.03,524672.275
1222,32463,"2023-05-06",19,6221773017,Investment,476,USD,Us Dollar,539856.35,853321.22,499957.66
825,54822,"2022-04-04",78,7718346871,Checking,775,INR,Indian Rupee,170923.52,984399.99,932033.545
1748,8830,"2024-10-13",79,2507273526,Savings,778,USD,Us Dollar,903149.3,426099.8,568431.645
507,15288,"2021-05-21",30,7697169500,Checking,553,INR,Indian Rupee,269078.2,64393.12,743537.465
591,12363,"2021-08-13",16,1810851648,Savings,657,INR,Indian Rupee,998606.42,121470.65,495995.045
969,71789,"2022-08-26",6,9559156298,Investment,490,INR,Indian Rupee,489525.73,304800.48,516735.305
926,52150,"2022-07-14",88,5866494339,Investment,422,INR,Indian Rupee,602903.07,649808.45,609812.015
889,62641,"2022-06-07",29,6684283366,Investment,776,EUR,Euro,231284.59,175293.15,349338.115
623,60185,"2021-09-14",15,1075123078,Savings,411,EUR,Euro,737315.97,579307.46,389142.945
123,98048,"2020-05-02",92,2027696396,Investment,719,INR,Indian Rupee,803246.27,103625.29,494002.29
1083,99893,"2022-12-18",64,2829800635,Investment,521,EUR,Euro,583619.08,422269.79,784930.23
74,77747,"2020-03-14",90,6196253681,Savings,834,EUR,Euro,941302.74,174454.03,631152.455
1595,8590,"2024-05-13",10,2768618389,Savings,681,INR,Indian Rupee,772518.52,573858.98,554266.285
1645,46787,"2024-07-02",66,4959466220,Investment,521,USD,Us Dollar,368479.38,653525.06,456153.715
196,53171,"2020-07-14",12,2552240900,Investment,553,EUR,Euro,172319.29,560078.64,874517.745
418,44489,"2021-02-21",37,3399529185,Savings,804,USD,Us Dollar,552718.12,169391.66,222642.245
1375,77082,"2023-10-06",35,3938325125,Savings,653,EUR,Euro,689960.67,656544.44,589880.115
926,23503,"2022-07-14",49,9139215473,Savings,443,EUR,Euro,30404.7,715292.3,493768.535
1459,54382,"2023-12-29",23,3126616099,Savings,443,USD,Us Dollar,767875.98,920344.16,562864.28
552,78205,"2021-07-05",40,6440589972,Investment,338,EUR,Euro,273616.05,861743.51,624159.06
247,7949,"2020-09-03",99,6656233056,Investment,418,INR,Indian Rupee,901462.96,482047.05,92744.19
698,87475,"2021-11-28",41,3302270666,Savings,726,EUR,Euro,930778.63,98594.2,70087.41
978,14649,"2022-09-04",26,5159171446,Savings,508,EUR,Euro,205346.17,836021.21,345530.215
203,63429,"2020-07-21",71,6983934777,Investment,456,USD,Us Dollar,39447.88,572518.43,625657.865
487,11403,"2021-05-01",95,1905214712,Checking,323,INR,Indian Rupee,628423.47,839658.16,628166.765
3,88969,"2020-01-03",23,3126616099,Savings,443,EUR,Euro,956364.11,683887.72,572904.225
388,3590,"2021-01-22",60,8330786189,Savings,416,EUR,Euro,582968.82,698785.27,505456.425
1460,6720,"2023-12-30",63,7414476694,Checking,751,USD,Us Dollar,283414.44,323947.54,945222.76
1519,41106,"2024-02-27",12,2552240900,Investment,553,USD,Us Dollar,939535.84,892897.98,779570.775
482,77686,"2021-04-26",41,3302270666,Savings,726,EUR,Euro,616339.57,208668.81,416220.2
1623,24734,"2024-06-10",96,2342810792,Savings,816,USD,Us Dollar,286739.09,141714.44,398234.37
148,57273,"2020-05-27",17,6920920144,Checking,748,USD,Us Dollar,379748.88,116562.56,315698.83
621,30391,"2021-09-12",3,4467657561,Checking,576,USD,Us Dollar,86324.2,36490.51,484514.69
1636,61928,"2024-06-23",75,2100030995,Investment,357,EUR,Euro,845011.35,575493.59,427297.975
168,10907,"2020-06-16",14,7850976653,Investment,698,EUR,Euro,315097.51,39526.97,852203.71
1249,85091,"2023-06-02",58,5002360478,Investment,467,USD,Us Dollar,181091.19,871641.67,718533.755
1724,4606,"2024-09-19",69,8735587101,Checking,836,EUR,Euro,121882.42,442525.25,616566.61
1074,7289,"2022-12-09",25,9343070075,Investment,339,INR,Indian Rupee,986504.1,981835.18,298998.105
941,28694,"2022-07-29",43,8138063800,Savings,601,USD,Us Dollar,444959.58,245549.58,193439.315
1571,4145,"2024-04-19",45,8713903249,Investment,540,EUR,Euro,796137.22,252454.78,516835.27
995,69537,"2022-09-21",86,9539212672,Checking,664,INR,Indian Rupee,118357.87,432279.72,531707.16
1544,20842,"2024-03-23",63,7414476694,Checking,751,EUR,Euro,356288.96,384488.54,327441.405
1826,61360,"2024-12-30",37,3399529185,Savings,804,INR,Indian Rupee,832998.74,772398.42,418506.04
