"transaction_id","date_id","date","account_number","account_type","credit_score","transaction_type_name","currency_code","currency_name","channel_name","city","state","postal_code","country","transaction_amount","transaction_status"
13118,337,"2020-12-02",5623049910,Checking,438,Transfer,INR,Indian Rupee,Mobile App,Lake Jeremiah,Louisiana,89105,Netherlands Antilles,4985.97,Completed
80006,98,"2020-04-07",7493577945,Investment,678,Withdrawal,EUR,Euro,ATM,East Amy,Missouri,83901,Costa Rica,1681.42,Failed
55839,1744,"2024-10-09",6196253681,Savings,834,Payment,INR,Indian Rupee,In-Store,New Austin,Alabama,39336,Cook Islands,1564.73,Pending
67273,1786,"2024-11-20",2100030995,Investment,357,Transfer,USD,Us Dollar,Online,North Jamesview,Nevada,72407,Mongolia,8323.62,Pending
3810,1118,"2023-01-22",2829800635,Investment,521,Withdrawal,USD,Us Dollar,ATM,Burkestad,Kansas,53606,Korea,159.26,Completed
34060,756,"2022-01-25",2171840078,Savings,836,Transfer,USD,Us Dollar,ATM,East Alisonton,Indiana,67046,South Africa,9534.77,Completed
25566,305,"2020-10-31",9641676419,Checking,792,Deposit,INR,Indian Rupee,Telephone,Wilsonport,Delaware,43624,Svalbard & Jan Mayen Islands,902.28,Completed
98842,1824,"2024-12-28",3126616099,Savings,443,Payment,USD,Us Dollar,In-Store,Sarahside,Alabama,21382,Nepal,3615.45,Completed
59100,1084,"2022-12-19",3938325125,Savings,653,Transfer,EUR,Euro,Online,East Seanport,North Dakota,67260,Iraq,6771.28,Completed
47879,1791,"2024-11-25",5975269469,Checking,732,Payment,INR,Indian Rupee,ATM,East Amy,Missouri,83901,Costa Rica,7125.58,Pending
54824,964,"2022-08-21",6440589972,Investment,338,Withdrawal,USD,Us Dollar,Mobile App,Staceyborough,Iowa,41220,Saint Martin,5844.32,Failed
75828,1220,"2023-05-04",6196253681,Savings,834,Withdrawal,USD,Us Dollar,ATM,East Joseshire,Wyoming,33767,Papua New Guinea,6599.28,Pending
71593,722,"2021-12-22",7850976653,Investment,698,Payment,INR,Indian Rupee,Online,Rodriguezfurt,Indiana,21311,Switzerland,8604.88,Completed
29091,298,"2020-10-24",9992038947,Investment,664,Deposit,EUR,Euro,Telephone,North Andrea,Illinois,70137,Grenada,6439.34,Failed
81102,331,"2020-11-26",4959466220,Investment,521,Transfer,USD,Us Dollar,Online,Rodriguezfurt,Indiana,21311,Switzerland,3640.31,Completed
22517,531,"2021-06-14",5646590499,Investment,814,Withdrawal,USD,Us Dollar,In-Store,Anthonyburgh,North Dakota,72487,Western Sahara,3685.32,Pending
66241,384,"2021-01-18",8466553961,Checking,513,Payment,USD,Us Dollar,Telephone,Sarahside,Alabama,21382,Nepal,2992.97,Pending
43908,240,"2020-08-27",9343070075,Investment,339,Transfer,USD,Us Dollar,Telephone,West Darryl,New Hampshire,88852,Colombia,1974.16,Failed
23217,1101,"2023-01-05",6983934777,Investment,456,Transfer,EUR,Euro,Online,Staceyborough,Iowa,41220,Saint Martin,8993.62,Failed
80399,1079,"2022-12-14",8138063800,Savings,601,Deposit,EUR,Euro,Mobile App,New Austin,Alabama,39336,Cook Islands,7888.04,Pending
72817,611,"2021-09-02",6440589972,Investment,338,Deposit,USD,Us Dollar,Online,East Joseshire,Wyoming,33767,Papua New Guinea,3092.98,Pending
2825,739,"2022-01-08",1133303244,Investment,729,Payment,USD,Us Dollar,Telephone,East Alisonton,Indiana,67046,South Africa,1937.04,Failed
82410,1159,"2023-03-04",5244343629,Savings,800,Payment,INR,Indian Rupee,Online,New Chad,Utah,15268,French Polynesia,6604.61,Failed
33391,922,"2022-07-10",3040393128,Checking,439,Withdrawal,USD,Us Dollar,ATM,Delgadoland,Illinois,46645,Belgium,2364.47,Pending
39183,1108,"2023-01-12",5988217223,Checking,760,Deposit,USD,Us Dollar,Telephone,Rebeccamouth,Oklahoma,91100,Palestinian Territory,9005.36,Pending
33406,122,"2020-05-01",1810851648,Savings,657,Withdrawal,EUR,Euro,Online,Jacksonchester,Wisconsin,72317,Namibia,3851.73,Failed
19908,273,"2020-09-29",6920920144,Checking,748,Deposit,USD,Us Dollar,Mobile App,Burkestad,Kansas,53606,Korea,6162.03,Completed
18008,1544,"2024-03-23",1594417161,Investment,415,Transfer,INR,Indian Rupee,In-Store,Port Frank,Missouri,29206,Mauritius,5294.29,Completed
93407,1043,"2022-11-08",2507273526,Savings,778,Transfer,INR,Indian Rupee,Online,East Seanport,North Dakota,67260,Iraq,9513.29,Completed
96268,1295,"2023-07-18",8512646775,Savings,664,Deposit,EUR,Euro,ATM,East Maria,West Virginia,91032,Iraq,4654.5,Completed
63015,399,"2021-02-02",2335408268,Checking,561,Payment,USD,Us Dollar,Telephone,South Dylanmouth,South Carolina,76424,Palau,8293.28,Completed
58935,748,"2022-01-17",6556879216,Savings,462,Deposit,INR,Indian Rupee,In-Store,East Charles,Vermont,20750,Cuba,3339.68,Completed
43496,679,"2021-11-09",9559156298,Investment,490,Deposit,USD,Us Dollar,Mobile App,Stephanieview,Oregon,76231,Guernsey,997.02,Failed
38596,831,"2022-04-10",8905846858,Investment,404,Payment,EUR,Euro,Telephone,Cookberg,Louisiana,84988,San Marino,105.02,Failed
47047,568,"2021-07-21",2798483663,Investment,698,Deposit,EUR,Euro,Mobile App,Stephanieview,Oregon,76231,Guernsey,9589.02,Pending
91874,684,"2021-11-14",6221773017,Investment,476,Deposit,INR,Indian Rupee,Mobile App,Stephanieview,Oregon,76231,Guernsey,9117.77,Pending
27718,564,"2021-07-17",2743334768,Investment,398,Deposit,USD,Us Dollar,In-Store,Sarahside,Alabama,21382,Nepal,1627.03,Failed
463,901,"2022-06-19",7718346871,Checking,775,Payment,USD,Us Dollar,Mobile App,North Nicholas,Oregon,17409,Tokelau,7861.73,Failed
94624,1308,"2023-07-31",8666354042,Savings,558,Deposit,INR,Indian Rupee,Telephone,Oconnorhaven,South Dakota,63371,Nepal,7470.84,Pending
43584,984,"2022-09-10",8902869633,Savings,721,Transfer,INR,Indian Rupee,Mobile App,West Elizabethfurt,New York,54303,Cambodia,2289.28,Pending
47810,1128,"2023-02-01",5244343629,Savings,800,Withdrawal,INR,Indian Rupee,ATM,Staceyborough,Iowa,41220,Saint Martin,9497.48,Completed
57257,1726,"2024-09-21",2988264762,Checking,843,Deposit,EUR,Euro,Telephone,Anthonyburgh,North Dakota,72487,Western Sahara,5418.52,Failed
7114,1114,"2023-01-18",2798483663,Investment,698,Withdrawal,USD,Us Dollar,Online,Port Frank,Missouri,29206,Mauritius,1446.66,Completed
32888,1030,"2022-10-26",8185036628,Savings,709,Withdrawal,INR,Indian Rupee,ATM,West Darryl,New Hampshire,88852,Colombia,8963.79,Pending
6351,539,"2021-06-22",2798483663,Investment,698,Payment,INR,Indian Rupee,Telephone,Lake Mark,Virginia,76393,Sierra Leone,4781.11,Failed
36576,410,"2021-02-13",3221389644,Savings,600,Transfer,EUR,Euro,Mobile App,Port Meagan,Alabama,43600,Netherlands Antilles,6104.06,Failed
40314,519,"2021-06-02",2798483663,Investment,698,Transfer,USD,Us Dollar,Telephone,Anthonyburgh,North Dakota,72487,Western Sahara,2824.36,Failed
71128,380,"2021-01-14",9139215473,Savings,443,Withdrawal,USD,Us Dollar,Online,Lake Mark,Virginia,76393,Sierra Leone,3085.3,Pending
56252,819,"2022-03-29",6196253681,Savings,834,Deposit,EUR,Euro,Telephone,Jacksonchester,Wisconsin,72317,Namibia,4078.09,Failed
39457,1675,"2024-08-01",1594417161,Investment,415,Payment,INR,Indian Rupee,ATM,Sarahside,Alabama,21382,Nepal,4286.88,Pending
34417,207,"2020-07-25",6556879216,Savings,462,Deposit,INR,Indian Rupee,In-Store,East Amy,Missouri,83901,Costa Rica,4309.55,Pending
34951,19,"2020-01-19",7718346871,Checking,775,Deposit,EUR,Euro,Telephone,North Jamesview,Nevada,72407,Mongolia,5068.02,Pending
44115,936,"2022-07-24",5341948287,Savings,705,Deposit,EUR,Euro,ATM,Wilsonport,Delaware,43624,Svalbard & Jan Mayen Islands,3384.16,Pending
41798,102,"2020-04-11",9641676419,Checking,792,Withdrawal,USD,Us Dollar,In-Store,West Darryl,New Hampshire,88852,Colombia,8210.19,Failed
36386,44,"2020-02-13",3221389644,Savings,600,Payment,EUR,Euro,Mobile App,South Davidville,North Carolina,29814,Togo,6527.18,Failed
12783,1112,"2023-01-16",1810851648,Savings,657,Transfer,EUR,Euro,Online,Howardtown,Colorado,99418,New Caledonia,7350.74,Pending
90670,1680,"2024-08-06",1210678639,Investment,518,Transfer,EUR,Euro,ATM,Port Frank,Missouri,29206,Mauritius,3704.45,Failed
89788,367,"2021-01-01",5159171446,Savings,508,Withdrawal,EUR,Euro,Telephone,Stephanieview,Oregon,76231,Guernsey,2652.72,Completed
92250,1529,"2024-03-08",3249098952,Savings,523,Transfer,USD,Us Dollar,Telephone,Rodriguezfurt,Indiana,21311,Switzerland,9476.97,Failed
70505,605,"2021-08-27",7156618058,Savings,644,Transfer,INR,Indian Rupee,In-Store,Smithberg,North Carolina,91280,Christmas Island,3629.78,Completed
80799,835,"2022-04-14",6983934777,Investment,456,Deposit,EUR,Euro,In-Store,Port Misty,Delaware,32818,Belarus,4278.31,Pending
33305,307,"2020-11-02",2768618389,Savings,681,Withdrawal,USD,Us Dollar,In-Store,Cookberg,Louisiana,84988,San Marino,389.44,Completed
5126,1298,"2023-07-21",3938325125,Savings,653,Withdrawal,USD,Us Dollar,Online,East Maria,West Virginia,91032,Iraq,719.15,Completed
54515,1502,"2024-02-10",3249098952,Savings,523,Payment,EUR,Euro,Mobile App,Jacksonchester,Wisconsin,72317,Namibia,9230.37,Failed
46669,601,"2021-08-23",8185036628,Savings,709,Payment,INR,Indian Rupee,Telephone,Lake Charlestown,Georgia,93217,Denmark,219.94,Completed
64864,1407,"2023-11-07",3274150100,Investment,660,Withdrawal,USD,Us Dollar,In-Store,Delgadoland,Illinois,46645,Belgium,100.1,Failed
6130,282,"2020-10-08",1402844576,Savings,695,Withdrawal,EUR,Euro,Telephone,Staceyborough,Iowa,41220,Saint Martin,3165.53,Failed
688,854,"2022-05-03",8713903249,Investment,540,Transfer,INR,Indian Rupee,Mobile App,Lake Mark,Virginia,76393,Sierra Leone,4172.1,Pending
80959,610,"2021-09-01",2507273526,Savings,778,Transfer,EUR,Euro,ATM,Port Frank,Missouri,29206,Mauritius,8060.71,Completed
67907,1213,"2023-04-27",4467657561,Checking,576,Transfer,EUR,Euro,Online,Sarahside,Alabama,21382,Nepal,2211.46,Failed
61313,1477,"2024-01-16",8902869633,Savings,721,Deposit,INR,Indian Rupee,Mobile App,Oconnorhaven,South Dakota,63371,Nepal,9139.48,Failed
22386,207,"2020-07-25",9317981806,Investment,618,Transfer,INR,Indian Rupee,Telephone,Howardtown,Colorado,99418,New Caledonia,5229.15,Pending
14559,1628,"2024-06-15",5341948287,Savings,705,Deposit,EUR,Euro,Mobile App,East Andrewfort,California,90892,Madagascar,8432.21,Pending
12009,1525,"2024-03-04",2988264762,Checking,843,Transfer,INR,Indian Rupee,Mobile App,Stephanieview,Oregon,76231,Guernsey,2967.55,Completed
15065,1474,"2024-01-13",6920920144,Checking,748,Transfer,INR,Indian Rupee,Telephone,Anthonyburgh,North Dakota,72487,Western Sahara,6701.25,Completed
61496,1607,"2024-05-25",2798483663,Investment,698,Withdrawal,USD,Us Dollar,Online,Delgadoland,Illinois,46645,Belgium,3954.24,Completed
37834,931,"2022-07-19",1594417161,Investment,415,Withdrawal,EUR,Euro,In-Store,Cookberg,Louisiana,84988,San Marino,7806.32,Pending
52614,1715,"2024-09-10",7156618058,Savings,644,Transfer,INR,Indian Rupee,In-Store,New Austin,Alabama,39336,Cook Islands,3838.54,Completed
2743,59,"2020-02-28",4095934095,Savings,315,Payment,INR,Indian Rupee,ATM,New Chad,Utah,15268,French Polynesia,1848.24,Failed
43160,500,"2021-05-14",8902869633,Savings,721,Deposit,INR,Indian Rupee,Online,North Jamesview,Nevada,72407,Mongolia,8500.79,Completed
49063,968,"2022-08-25",6051679619,Checking,539,Transfer,USD,Us Dollar,ATM,East Maria,West Virginia,91032,Iraq,8592.05,Failed
79564,1678,"2024-08-04",8735587101,Checking,836,Withdrawal,EUR,Euro,ATM,Lake Stacyhaven,Rhode Island,83569,Niue,5711.08,Pending
97840,694,"2021-11-24",1402844576,Savings,695,Withdrawal,INR,Indian Rupee,Telephone,Rodriguezfurt,Indiana,21311,Switzerland,5743.43,Pending
92997,1112,"2023-01-16",7413651771,Checking,442,Payment,USD,Us Dollar,In-Store,Sarahside,Alabama,21382,Nepal,9428.32,Pending
61427,474,"2021-04-18",9559156298,Investment,490,Transfer,INR,Indian Rupee,Online,East Charles,Vermont,20750,Cuba,3016.2,Pending
39861,32,"2020-02-01",1075123078,Savings,411,Transfer,USD,Us Dollar,In-Store,Cookberg,Louisiana,84988,San Marino,8769.25,Completed
50879,1692,"2024-08-18",1905214712,Checking,323,Deposit,INR,Indian Rupee,Online,West Elizabethfurt,New York,54303,Cambodia,8738.04,Completed
26011,602,"2021-08-24",5623049910,Checking,438,Withdrawal,INR,Indian Rupee,ATM,Staceyborough,Iowa,41220,Saint Martin,8744.55,Failed
56163,1753,"2024-10-18",5975269469,Checking,732,Withdrawal,INR,Indian Rupee,Online,West Darryl,New Hampshire,88852,Colombia,5451.3,Pending
66497,1367,"2023-09-28",9356198692,Savings,506,Payment,INR,Indian Rupee,ATM,East Maria,West Virginia,91032,Iraq,253.09,Completed
34224,469,"2021-04-13",3399529185,Savings,804,Transfer,USD,Us Dollar,In-Store,New Chad,Utah,15268,French Polynesia,6607.4,Pending
38776,825,"2022-04-04",9139215473,Savings,443,Transfer,EUR,Euro,Telephone,North Nicholas,Oregon,17409,Tokelau,2493.47,Pending
3971,149,"2020-05-28",7454293392,Investment,628,Deposit,EUR,Euro,Online,Port Meagan,Alabama,43600,Netherlands Antilles,1499.54,Completed
38688,1039,"2022-11-04",2829800635,Investment,521,Transfer,INR,Indian Rupee,ATM,West Elizabethfurt,New York,54303,Cambodia,6444.82,Failed
43789,1081,"2022-12-16",4467657561,Checking,576,Withdrawal,EUR,Euro,ATM,Pamelaland,New York,8904,Cook Islands,9293.08,Completed
24568,134,"2020-05-13",9539212672,Checking,664,Transfer,EUR,Euro,Online,Delgadoland,Illinois,46645,Belgium,5682.23,Completed
58503,1096,"2022-12-31",7750543145,Savings,640,Transfer,INR,Indian Rupee,In-Store,Delgadoland,Illinois,46645,Belgium,4502.75,Pending
38703,1386,"2023-10-17",9559156298,Investment,490,Transfer,INR,Indian Rupee,Telephone,New Chad,Utah,15268,French Polynesia,9461.75,Completed
65509,95,"2020-04-04",6684283366,Investment,776,Payment,USD,Us Dollar,Online,Port Misty,Delaware,32818,Belarus,2644.75,Completed
51241,951,"2022-08-08",9846911760,Investment,728,Transfer,EUR,Euro,Online,West Darryl,New Hampshire,88852,Colombia,8355.98,Pending
65040,882,"2022-05-31",6684283366,Investment,776,Withdrawal,INR,Indian Rupee,Telephone,Staceyborough,Iowa,41220,Saint Martin,557.12,Failed
40345,1768,"2024-11-02",9846911760,Investment,728,Withdrawal,EUR,Euro,In-Store,East Alisonton,Indiana,67046,South Africa,9895.05,Pending
7856,423,"2021-02-26",7413651771,Checking,442,Payment,EUR,Euro,Online,North Nicholas,Oregon,17409,Tokelau,9743.78,Failed
45556,1283,"2023-07-06",5341948287,Savings,705,Payment,USD,Us Dollar,Mobile App,Hernandezchester,Pennsylvania,17214,Latvia,3407.57,Failed
38509,1138,"2023-02-11",8735587101,Checking,836,Payment,USD,Us Dollar,Online,East Alisonton,Indiana,67046,South Africa,8286.9,Failed
21566,983,"2022-09-09",7750543145,Savings,640,Transfer,EUR,Euro,ATM,East Charles,Vermont,20750,Cuba,9798.48,Completed
93743,818,"2022-03-28",2342810792,Savings,816,Deposit,EUR,Euro,ATM,Burkestad,Kansas,53606,Korea,8810.04,Failed
53230,540,"2021-06-23",1133303244,Investment,729,Payment,INR,Indian Rupee,ATM,Anthonyburgh,North Dakota,72487,Western Sahara,6362.84,Pending
74572,601,"2021-08-23",6051679619,Checking,539,Payment,USD,Us Dollar,Online,Danielhaven,New Jersey,83735,Sweden,7393.66,Completed
28119,1768,"2024-11-02",2389511583,Savings,819,Transfer,EUR,Euro,ATM,Port Derek,Tennessee,38085,Cayman Islands,6536.61,Failed
57651,1447,"2023-12-17",6556879216,Savings,462,Withdrawal,INR,Indian Rupee,In-Store,Burkestad,Kansas,53606,Korea,631.52,Completed
14595,635,"2021-09-26",4596726978,Savings,593,Transfer,EUR,Euro,Telephone,Sarahside,Alabama,21382,Nepal,735.33,Pending
25056,1811,"2024-12-15",7414476694,Checking,751,Transfer,USD,Us Dollar,ATM,Anthonyburgh,North Dakota,72487,Western Sahara,4230.74,Pending
13653,1501,"2024-02-09",9139215473,Savings,443,Withdrawal,USD,Us Dollar,ATM,North Jamesview,Nevada,72407,Mongolia,2066.21,Pending
67530,736,"2022-01-05",8023173848,Savings,789,Payment,INR,Indian Rupee,Telephone,Sonyaland,New York,25204,Nigeria,867.38,Pending
91940,412,"2021-02-15",8185036628,Savings,709,Deposit,USD,Us Dollar,ATM,North Robertbury,Vermont,5886,Sao Tome and Principe,908.19,Pending
55096,349,"2020-12-14",3221389644,Savings,600,Deposit,EUR,Euro,Mobile App,Pamelaland,New York,8904,Cook Islands,7929.17,Failed
53837,721,"2021-12-21",4596726978,Savings,593,Deposit,INR,Indian Rupee,Telephone,Anthonyburgh,North Dakota,72487,Western Sahara,1040.03,Completed
58566,511,"2021-05-25",2335408268,Checking,561,Transfer,EUR,Euro,Mobile App,South Dylanmouth,South Carolina,76424,Palau,6929.7,Failed
9129,1303,"2023-07-26",2335408268,Checking,561,Payment,EUR,Euro,Mobile App,Hernandezchester,Pennsylvania,17214,Latvia,3833.01,Pending
35253,744,"2022-01-13",2798483663,Investment,698,Deposit,USD,Us Dollar,Online,Wilsonport,Delaware,43624,Svalbard & Jan Mayen Islands,2151.94,Pending
72935,1813,"2024-12-17",3249098952,Savings,523,Withdrawal,INR,Indian Rupee,Telephone,Delgadoland,Illinois,46645,Belgium,4618.46,Failed
71249,1002,"2022-09-28",1402844576,Savings,695,Payment,USD,Us Dollar,ATM,South Dylanmouth,South Carolina,76424,Palau,1460.71,Failed
37862,216,"2020-08-03",2835651681,Investment,828,Transfer,INR,Indian Rupee,ATM,Cookberg,Louisiana,84988,San Marino,3326.65,Failed
82145,1228,"2023-05-12",5975269469,Checking,732,Payment,INR,Indian Rupee,Mobile App,Lake Mark,Virginia,76393,Sierra Leone,5832.08,Completed
85846,891,"2022-06-09",8905846858,Investment,404,Withdrawal,EUR,Euro,Telephone,Delgadoland,Illinois,46645,Belgium,461.43,Completed
81874,95,"2020-04-04",7850976653,Investment,698,Transfer,USD,Us Dollar,ATM,East Seanport,North Dakota,67260,Iraq,2428.48,Completed
33289,151,"2020-05-30",3816279528,Investment,674,Deposit,INR,Indian Rupee,In-Store,Lake Mark,Virginia,76393,Sierra Leone,6360.55,Completed
16344,229,"2020-08-16",7850976653,Investment,698,Deposit,USD,Us Dollar,ATM,East Andrewfort,California,90892,Madagascar,3789.32,Completed
35802,1442,"2023-12-12",4467657561,Checking,576,Payment,INR,Indian Rupee,Mobile App,East Charles,Vermont,20750,Cuba,9111.41,Pending
93521,126,"2020-05-05",6920920144,Checking,748,Withdrawal,USD,Us Dollar,Online,Anthonyburgh,North Dakota,72487,Western Sahara,5976.04,Failed
9583,1473,"2024-01-12",7268934381,Savings,666,Payment,EUR,Euro,Mobile App,Lake Mark,Virginia,76393,Sierra Leone,351.55,Failed
74392,1174,"2023-03-19",9287849202,Investment,790,Withdrawal,EUR,Euro,Telephone,East Juliashire,Ohio,10640,Aruba,5071.48,Pending
58231,1308,"2023-07-31",6556879216,Savings,462,Withdrawal,EUR,Euro,Mobile App,Nicolebury,Mississippi,13554,Lebanon,7663.87,Completed
70103,410,"2021-02-13",7850976653,Investment,698,Transfer,USD,Us Dollar,Online,Lake Mark,Virginia,76393,Sierra Leone,4089.37,Pending
60409,1418,"2023-11-18",2829800635,Investment,521,Withdrawal,INR,Indian Rupee,Telephone,New Austin,Alabama,39336,Cook Islands,252.25,Completed
40123,599,"2021-08-21",4155141978,Investment,700,Deposit,INR,Indian Rupee,ATM,Oconnorhaven,South Dakota,63371,Nepal,3779.67,Failed
1393,623,"2021-09-14",5866494339,Investment,422,Payment,EUR,Euro,In-Store,North Emily,Ohio,93977,Belarus,9227.47,Completed
62849,627,"2021-09-18",7493577945,Investment,678,Deposit,INR,Indian Rupee,Telephone,Lake Mark,Virginia,76393,Sierra Leone,6798.7,Completed
83262,1574,"2024-04-22",9343070075,Investment,339,Payment,INR,Indian Rupee,ATM,South Dylanmouth,South Carolina,76424,Palau,1068.07,Pending
11432,804,"2022-03-14",8023173848,Savings,789,Withdrawal,EUR,Euro,ATM,East Juliashire,Ohio,10640,Aruba,2949.23,Completed
82322,1455,"2023-12-25",5002360478,Investment,467,Payment,INR,Indian Rupee,Telephone,Sarahside,Alabama,21382,Nepal,9393.54,Pending
37597,755,"2022-01-24",5002360478,Investment,467,Withdrawal,EUR,Euro,Mobile App,East Maria,West Virginia,91032,Iraq,6246.48,Failed
4218,864,"2022-05-13",3274150100,Investment,660,Deposit,INR,Indian Rupee,Telephone,Smithberg,North Carolina,91280,Christmas Island,4727.9,Failed
64588,582,"2021-08-04",4596726978,Savings,593,Withdrawal,INR,Indian Rupee,Telephone,Pamelaland,New York,8904,Cook Islands,2911.23,Completed
62212,1345,"2023-09-06",8735587101,Checking,836,Deposit,EUR,Euro,In-Store,Lake Mark,Virginia,76393,Sierra Leone,2013.24,Completed
13768,79,"2020-03-19",9367791903,Investment,461,Deposit,EUR,Euro,Mobile App,Smithberg,North Carolina,91280,Christmas Island,1738.32,Pending
10085,587,"2021-08-09",8466553961,Checking,513,Payment,EUR,Euro,Mobile App,Lake Mark,Virginia,76393,Sierra Leone,2838.21,Failed
75796,900,"2022-06-18",8735587101,Checking,836,Withdrawal,INR,Indian Rupee,ATM,Howardtown,Colorado,99418,New Caledonia,2351.26,Pending
44097,727,"2021-12-27",2389511583,Savings,819,Payment,EUR,Euro,ATM,Delgadoland,Illinois,46645,Belgium,7092.3,Pending
39267,1239,"2023-05-23",2829800635,Investment,521,Payment,USD,Us Dollar,In-Store,New Austin,Alabama,39336,Cook Islands,2409.94,Failed
60062,981,"2022-09-07",9559156298,Investment,490,Withdrawal,EUR,Euro,Online,Burkestad,Kansas,53606,Korea,7048.75,Failed
89612,933,"2022-07-21",8023173848,Savings,789,Payment,INR,Indian Rupee,Telephone,Staceyborough,Iowa,41220,Saint Martin,6283.58,Completed
55111,1448,"2023-12-18",4187234787,Savings,615,Payment,USD,Us Dollar,ATM,Lake Charlestown,Georgia,93217,Denmark,5973.13,Failed
41939,505,"2021-05-19",2552240900,Investment,553,Deposit,INR,Indian Rupee,Online,Port Frank,Missouri,29206,Mauritius,5615.89,Pending
19351,1148,"2023-02-21",4187234787,Savings,615,Withdrawal,EUR,Euro,Telephone,East Amy,Missouri,83901,Costa Rica,7388.17,Failed
94542,377,"2021-01-11",2829800635,Investment,521,Payment,EUR,Euro,In-Store,Anthonyburgh,North Dakota,72487,Western Sahara,6044.82,Pending
40498,1209,"2023-04-23",2171840078,Savings,836,Transfer,INR,Indian Rupee,Mobile App,Stephanieview,Oregon,76231,Guernsey,2756.82,Failed
77304,1331,"2023-08-23",7718346871,Checking,775,Payment,INR,Indian Rupee,Mobile App,Lake Jeremiah,Louisiana,89105,Netherlands Antilles,222.84,Pending
46928,1191,"2023-04-05",9846911760,Investment,728,Deposit,USD,Us Dollar,Mobile App,Port Williamburgh,Kansas,40238,Korea,8071.59,Pending
62045,150,"2020-05-29",6556879216,Savings,462,Withdrawal,USD,Us Dollar,Online,Port Melissa,Alabama,50584,Saudi Arabia,353.77,Failed
17405,331,"2020-11-26",5244343629,Savings,800,Deposit,EUR,Euro,Online,North Andrea,Illinois,70137,Grenada,4095.47,Pending
94228,866,"2022-05-15",7718346871,Checking,775,Deposit,USD,Us Dollar,Mobile App,Hernandezchester,Pennsylvania,17214,Latvia,4604.94,Failed
64840,1580,"2024-04-28",4963601096,Savings,332,Payment,USD,Us Dollar,ATM,Port Derek,Tennessee,38085,Cayman Islands,5591.73,Completed
75105,1074,"2022-12-09",9543734386,Savings,612,Transfer,INR,Indian Rupee,ATM,Lake Charlestown,Georgia,93217,Denmark,3139.8,Completed
4596,62,"2020-03-02",3274150100,Investment,660,Deposit,USD,Us Dollar,ATM,North Emily,Ohio,93977,Belarus,1706.25,Failed
91521,1775,"2024-11-09",9139215473,Savings,443,Transfer,USD,Us Dollar,In-Store,Stephanieview,Oregon,76231,Guernsey,1470.54,Pending
3309,1158,"2023-03-03",8902869633,Savings,721,Payment,USD,Us Dollar,Telephone,Cookberg,Louisiana,84988,San Marino,3518.79,Pending
