"date_id","investment_id","investment_date","account_number","account_type","credit_score","investment_type_id","investment_type_name","investment_amount","investment_return"
975,14295,"2022-09-01",4095934095,Savings,315,4,Characterinvestment,2668.92,11614.1
833,94696,"2022-04-12",9539212672,Checking,664,4,Characterinvestment,5828.22,13738.49
1579,50648,"2024-04-27",4187234787,Savings,615,1,Decadeinvestment,1265.06,-4246.24
50,92193,"2020-02-19",7718346871,Checking,775,1,Decadeinvestment,5269.75,-1298.56
302,16191,"2020-10-28",7414476694,Checking,751,2,Helpinvestment,1100.61,1747.08
233,27890,"2020-08-20",2389511583,Savings,819,1,Decadeinvestment,4504.54,11222.74
160,23883,"2020-06-08",5255412319,Savings,313,1,Decadeinvestment,3412.25,-927.22
301,49400,"2020-10-27",1210678639,Investment,518,1,Decadeinvestment,2017.95,14026.47
592,97742,"2021-08-14",4051390763,Investment,310,2,Helpinvestment,4307.01,11066.94
1055,49601,"2022-11-20",9559156298,Investment,490,1,Decadeinvestment,1884.28,14300.15
1435,47335,"2023-12-05",7740150564,Investment,586,4,Characterinvestment,5955.15,11305.02
801,21945,"2022-03-11",6065704667,Checking,350,1,Decadeinvestment,2085.62,2281.56
583,42607,"2021-08-05",9287849202,Investment,790,4,Characterinvestment,8241.26,6285.74
1008,98520,"2022-10-04",2552240900,Investment,553,5,Musicinvestment,8464.89,2085.06
1000,97893,"2022-09-26",2100030995,Investment,357,2,Helpinvestment,9368.29,3666.9
410,31785,"2021-02-13",5244343629,Savings,800,1,Decadeinvestment,2668.86,7651.33
1186,76304,"2023-03-31",6656233056,Investment,418,4,Characterinvestment,3340.45,12325.14
1782,70455,"2024-11-16",2100030995,Investment,357,4,Characterinvestment,8314.29,3534.69
105,78595,"2020-04-14",3126616099,Savings,443,4,Characterinvestment,8362.1,-3432.62
1778,54787,"2024-11-12",4187234787,Savings,615,4,Characterinvestment,9019.11,2850.58
22,29676,"2020-01-22",3399529185,Savings,804,3,Clearinvestment,9884.69,4449.66
194,52368,"2020-07-12",1075123078,Savings,411,2,Helpinvestment,3520.54,1952.93
285,90940,"2020-10-11",1764838640,Investment,783,3,Clearinvestment,4302.28,565.41
1764,21597,"2024-10-29",5341948287,Savings,705,3,Clearinvestment,4870.55,5300.1
58,39693,"2020-02-27",9367791903,Investment,461,5,Musicinvestment,6972.87,8500.8
475,72455,"2021-04-19",6656233056,Investment,418,1,Decadeinvestment,3000.7,6011.17
786,3639,"2022-02-24",5255412319,Savings,313,3,Clearinvestment,4810.04,-4386.9
1237,74238,"2023-05-21",1810851648,Savings,657,2,Helpinvestment,2312.35,13859.66
1146,10929,"2023-02-19",9343070075,Investment,339,1,Decadeinvestment,4545.09,8852.76
1416,48580,"2023-11-16",7268934381,Savings,666,5,Musicinvestment,4399.34,7596.69
280,93933,"2020-10-06",7454293392,Investment,628,3,Clearinvestment,4474.89,1323.05
683,12746,"2021-11-13",1378115510,Savings,677,4,Characterinvestment,2459.13,10951.57
1657,91103,"2024-07-14",2552240900,Investment,553,3,Clearinvestment,4379.3,7956.37
1671,22504,"2024-07-28",8138063800,Savings,601,3,Clearinvestment,4834.95,2250.52
744,60483,"2022-01-13",2743334768,Investment,398,1,Decadeinvestment,6763.31,-1485.48
780,56822,"2022-02-18",4155141978,Investment,700,4,Characterinvestment,7289.26,11641.88
1468,93388,"2024-01-07",2835651681,Investment,828,5,Musicinvestment,3596.76,10127.77
1688,29230,"2024-08-14",5159171446,Savings,508,1,Decadeinvestment,5951.83,2743.64
1092,62006,"2022-12-27",8905846858,Investment,404,2,Helpinvestment,7519.5,473.25
1138,243,"2023-02-11",6196253681,Savings,834,2,Helpinvestment,1639.89,-1817.92
1511,4907,"2024-02-19",2171840078,Savings,836,5,Musicinvestment,4452.3,14807.76
615,62062,"2021-09-06",3302270666,Savings,726,2,Helpinvestment,4752.5,12873.95
1510,19380,"2024-02-18",9356198692,Savings,506,1,Decadeinvestment,4960.15,1100.73
111,39074,"2020-04-20",3297859812,Checking,628,4,Characterinvestment,7483.4,12085.58
633,52655,"2021-09-24",5002360478,Investment,467,5,Musicinvestment,5911.51,-2956.16
777,84652,"2022-02-15",5341948287,Savings,705,4,Characterinvestment,1228.02,2734.32
1737,11891,"2024-10-02",9356198692,Savings,506,5,Musicinvestment,3564.36,6010.18
114,62065,"2020-04-23",8330786189,Savings,416,1,Decadeinvestment,7883.73,-260.84
797,36022,"2022-03-07",1133303244,Investment,729,4,Characterinvestment,6183.61,11072.1
1342,30723,"2023-09-03",3249098952,Savings,523,5,Musicinvestment,4497.13,7206.13
892,78831,"2022-06-10",8512646775,Savings,664,4,Characterinvestment,9058.68,5866.89
638,52059,"2021-09-29",8666354042,Savings,558,1,Decadeinvestment,7735.0,14625.71
935,89012,"2022-07-23",3249098952,Savings,523,5,Musicinvestment,6535.6,-2647.75
1065,39713,"2022-11-30",2835651681,Investment,828,2,Helpinvestment,1268.21,11445.32
1254,206,"2023-06-07",3938325125,Savings,653,4,Characterinvestment,6420.26,14914.38
1421,43127,"2023-11-21",5341948287,Savings,705,4,Characterinvestment,5634.2,-3074.14
1373,73070,"2023-10-04",6065704667,Checking,350,5,Musicinvestment,5289.76,4943.81
1290,95612,"2023-07-13",1905214712,Checking,323,4,Characterinvestment,4283.26,1106.39
1404,98965,"2023-11-04",5244343629,Savings,800,1,Decadeinvestment,2864.91,8653.78
1032,93210,"2022-10-28",4959466220,Investment,521,5,Musicinvestment,8503.77,930.71
1490,55289,"2024-01-29",9139215473,Savings,443,5,Musicinvestment,7326.74,12461.89
864,50206,"2022-05-13",8713903249,Investment,540,5,Musicinvestment,6554.66,1892.21
743,81693,"2022-01-12",9343070075,Investment,339,5,Musicinvestment,1823.46,-1209.71
1085,98472,"2022-12-20",2988264762,Checking,843,2,Helpinvestment,9704.48,2261.91
641,59962,"2021-10-02",6656233056,Investment,418,4,Characterinvestment,2819.75,7047.55
1312,11074,"2023-08-04",2988264762,Checking,843,2,Helpinvestment,1643.86,1466.41
401,36103,"2021-02-04",5002360478,Investment,467,3,Clearinvestment,1061.79,6642.09
1761,99219,"2024-10-26",6656233056,Investment,418,4,Characterinvestment,8805.43,14541.09
800,51857,"2022-03-10",2171840078,Savings,836,4,Characterinvestment,3069.88,10953.6
726,47151,"2021-12-26",9343070075,Investment,339,1,Decadeinvestment,4574.55,-2701.38
1358,40592,"2023-09-19",8466553961,Checking,513,3,Clearinvestment,7485.07,13190.14
83,88135,"2020-03-23",3040393128,Checking,439,5,Musicinvestment,5351.46,5234.46
66,14216,"2020-03-06",5002360478,Investment,467,5,Musicinvestment,1178.47,4122.12
1707,39519,"2024-09-02",4095934095,Savings,315,5,Musicinvestment,4031.29,-1244.76
1716,68651,"2024-09-11",8713903249,Investment,540,5,Musicinvestment,5660.46,5001.99
295,9299,"2020-10-21",1810851648,Savings,657,1,Decadeinvestment,5555.56,1586.4
1214,39634,"2023-04-28",9543734386,Savings,612,3,Clearinvestment,2076.67,11964.99
1300,16502,"2023-07-23",9641676419,Checking,792,3,Clearinvestment,5955.07,6604.2
77,40944,"2020-03-17",9343070075,Investment,339,2,Helpinvestment,6823.2,12457.41
1423,5525,"2023-11-23",5244343629,Savings,800,3,Clearinvestment,5805.03,-2626.43
1551,48505,"2024-03-30",5244343629,Savings,800,2,Helpinvestment,4150.11,14322.42
696,61276,"2021-11-26",1594417161,Investment,415,4,Characterinvestment,7074.32,1818.7
916,95102,"2022-07-04",8138063800,Savings,601,2,Helpinvestment,6999.64,5724.68
878,48807,"2022-05-27",9343070075,Investment,339,4,Characterinvestment,9834.86,5969.97
867,27599,"2022-05-16",1594417161,Investment,415,5,Musicinvestment,4385.65,8324.8
14,50282,"2020-01-14",2798483663,Investment,698,1,Decadeinvestment,4869.98,-2087.93
1596,81709,"2024-05-14",5244343629,Savings,800,2,Helpinvestment,1618.21,11098.95
1787,45917,"2024-11-21",4155141978,Investment,700,4,Characterinvestment,5851.45,-3231.67
690,76625,"2021-11-20",8138063800,Savings,601,2,Helpinvestment,9191.54,8036.55
511,10836,"2021-05-25",6983934777,Investment,456,5,Musicinvestment,6379.54,-3253.74
893,45889,"2022-06-11",5623049910,Checking,438,1,Decadeinvestment,4074.46,13112.8
432,24071,"2021-03-07",2100030995,Investment,357,4,Characterinvestment,2864.25,5186.19
282,4147,"2020-10-08",2971836125,Checking,359,3,Clearinvestment,5731.58,2931.92
1356,48715,"2023-09-17",5255412319,Savings,313,2,Helpinvestment,1366.92,724.01
1271,16493,"2023-06-24",2798483663,Investment,698,3,Clearinvestment,4390.66,-1709.72
1812,55268,"2024-12-16",4051390763,Investment,310,1,Decadeinvestment,8898.59,9258.09
881,87360,"2022-05-30",8666354042,Savings,558,5,Musicinvestment,5465.82,-3867.48
863,31300,"2022-05-12",1810851648,Savings,657,1,Decadeinvestment,8599.55,12284.37
848,84284,"2022-04-27",9287849202,Investment,790,2,Helpinvestment,3558.05,3269.9
1050,78867,"2022-11-15",7740150564,Investment,586,3,Clearinvestment,9548.8,-4659.0
865,15819,"2022-05-14",2829800635,Investment,521,2,Helpinvestment,3791.4,7797.61
791,81018,"2022-03-01",5988217223,Checking,760,5,Musicinvestment,5839.92,-1563.89
986,41948,"2022-09-12",2342810792,Savings,816,4,Characterinvestment,5904.66,12253.27
172,11349,"2020-06-20",8138063800,Savings,601,3,Clearinvestment,6202.34,14283.91
158,18426,"2020-06-06",7268934381,Savings,666,5,Musicinvestment,2733.68,10452.33
1412,50204,"2023-11-12",7454293392,Investment,628,4,Characterinvestment,8894.01,1556.31
808,50451,"2022-03-18",1075123078,Savings,411,4,Characterinvestment,1153.42,1723.96
1101,59657,"2023-01-05",7414476694,Checking,751,2,Helpinvestment,2888.33,836.73
25,69806,"2020-01-25",4596726978,Savings,593,4,Characterinvestment,1770.26,126.77
245,38712,"2020-09-01",2100030995,Investment,357,3,Clearinvestment,1238.83,1092.82
1461,41743,"2023-12-31",7697169500,Checking,553,1,Decadeinvestment,2435.8,7294.44
731,50982,"2021-12-31",5646590499,Investment,814,1,Decadeinvestment,2925.71,-3007.1
1664,79624,"2024-07-21",2335408268,Checking,561,5,Musicinvestment,2938.01,7886.17
1083,48530,"2022-12-18",9367791903,Investment,461,2,Helpinvestment,3455.47,14891.19
1342,96376,"2023-09-03",2335408268,Checking,561,1,Decadeinvestment,9706.83,14650.73
547,50047,"2021-06-30",6983934777,Investment,456,4,Characterinvestment,9478.33,-3054.63
121,86773,"2020-04-30",7268934381,Savings,666,5,Musicinvestment,3979.57,-2733.26
641,38350,"2021-10-02",7718346871,Checking,775,5,Musicinvestment,5451.46,13799.73
1763,35426,"2024-10-28",2100030995,Investment,357,5,Musicinvestment,5219.24,-3371.75
735,85310,"2022-01-04",4095934095,Savings,315,4,Characterinvestment,2883.24,14575.59
50,11118,"2020-02-19",9846911760,Investment,728,3,Clearinvestment,9800.94,1155.54
104,65392,"2020-04-13",5975269469,Checking,732,4,Characterinvestment,1132.29,-1897.79
1326,44473,"2023-08-18",8666354042,Savings,558,5,Musicinvestment,5981.37,1790.13
286,14604,"2020-10-12",8745713343,Checking,601,4,Characterinvestment,6941.96,-4510.07
499,44299,"2021-05-13",4187234787,Savings,615,3,Clearinvestment,6064.09,12272.65
1218,79570,"2023-05-02",3938325125,Savings,653,5,Musicinvestment,8023.3,9757.99
1747,29282,"2024-10-12",3040393128,Checking,439,1,Decadeinvestment,9843.82,2068.25
138,60685,"2020-05-17",8466553961,Checking,513,1,Decadeinvestment,9787.28,12422.0
657,76997,"2021-10-18",3816279528,Investment,674,1,Decadeinvestment,7804.64,9249.43
291,70994,"2020-10-17",2387898494,Investment,827,4,Characterinvestment,8971.8,10547.7
343,12186,"2020-12-08",9846911760,Investment,728,4,Characterinvestment,8330.09,10379.7
1624,16451,"2024-06-11",1133303244,Investment,729,1,Decadeinvestment,6685.5,11769.82
426,87198,"2021-03-01",7156618058,Savings,644,1,Decadeinvestment,9265.42,-2223.75
1389,87812,"2023-10-20",6221773017,Investment,476,5,Musicinvestment,2062.02,2119.11
1630,33770,"2024-06-17",2798483663,Investment,698,3,Clearinvestment,3115.66,14393.21
167,15412,"2020-06-15",3399529185,Savings,804,1,Decadeinvestment,7634.94,-4294.08
551,22045,"2021-07-04",2798483663,Investment,698,2,Helpinvestment,5949.47,-2702.25
676,88574,"2021-11-06",2552240900,Investment,553,4,Characterinvestment,1223.26,52.0
1148,59303,"2023-02-21",7413651771,Checking,442,5,Musicinvestment,9828.89,3891.13
105,40568,"2020-04-14",3274150100,Investment,660,5,Musicinvestment,2454.59,5783.36
1564,13904,"2024-04-12",8905846858,Investment,404,4,Characterinvestment,9396.39,1146.68
972,73958,"2022-08-29",7740150564,Investment,586,2,Helpinvestment,2793.96,693.0
1186,79729,"2023-03-31",8330786189,Savings,416,1,Decadeinvestment,9206.92,-2471.58
1670,47129,"2024-07-27",8735587101,Checking,836,3,Clearinvestment,9917.23,2158.5
83,99390,"2020-03-23",3274150100,Investment,660,1,Decadeinvestment,4244.98,-1002.46
570,86554,"2021-07-23",2971836125,Checking,359,3,Clearinvestment,5621.9,-874.39
448,29065,"2021-03-23",9641676419,Checking,792,1,Decadeinvestment,4478.42,-1211.49
808,74236,"2022-03-18",8512646775,Savings,664,2,Helpinvestment,4271.23,5619.87
1284,75097,"2023-07-07",2835651681,Investment,828,5,Musicinvestment,5296.16,7440.11
804,84027,"2022-03-14",2027696396,Investment,719,3,Clearinvestment,7162.63,6771.79
1550,91106,"2024-03-29",8902869633,Savings,721,1,Decadeinvestment,2528.94,9374.48
628,56811,"2021-09-19",3297859812,Checking,628,1,Decadeinvestment,8857.11,-377.45
1765,287,"2024-10-30",2171840078,Savings,836,1,Decadeinvestment,2851.74,13859.6
830,71531,"2022-04-09",2027696396,Investment,719,4,Characterinvestment,4770.74,4833.62
1530,63185,"2024-03-09",2988264762,Checking,843,5,Musicinvestment,6299.85,13958.66
1021,1665,"2022-10-17",6221773017,Investment,476,4,Characterinvestment,1670.62,5069.0
1795,21435,"2024-11-29",8466553961,Checking,513,2,Helpinvestment,9647.68,11499.51
222,62457,"2020-08-09",2743334768,Investment,398,4,Characterinvestment,8136.64,-1158.8
1665,76096,"2024-07-22",2171840078,Savings,836,1,Decadeinvestment,3599.75,2554.34
309,74643,"2020-11-04",9846911760,Investment,728,2,Helpinvestment,5911.5,-2215.28
21,75,"2020-01-21",7750543145,Savings,640,5,Musicinvestment,9206.85,10887.17
1527,7766,"2024-03-06",9846911760,Investment,728,1,Decadeinvestment,7801.97,7837.33
355,22303,"2020-12-20",9139215473,Savings,443,4,Characterinvestment,2145.7,2541.54
296,42019,"2020-10-22",9641676419,Checking,792,1,Decadeinvestment,2090.3,6760.37
488,39833,"2021-05-02",4155141978,Investment,700,3,Clearinvestment,8372.47,-4880.49
4,23759,"2020-01-04",7454293392,Investment,628,4,Characterinvestment,5746.11,6247.72
455,37714,"2021-03-30",5646590499,Investment,814,1,Decadeinvestment,9516.42,231.27
1168,56337,"2023-03-13",2100030995,Investment,357,1,Decadeinvestment,2866.73,965.21
282,68085,"2020-10-08",4155141978,Investment,700,4,Characterinvestment,5660.88,2696.63
1279,10565,"2023-07-02",5623049910,Checking,438,4,Characterinvestment,9603.28,7057.4
416,93951,"2021-02-19",6920920144,Checking,748,1,Decadeinvestment,2415.37,14086.33
224,6574,"2020-08-11",3249098952,Savings,523,3,Clearinvestment,3484.85,-3556.52
1082,57376,"2022-12-17",5623049910,Checking,438,3,Clearinvestment,6650.83,-2086.11
5,37831,"2020-01-05",5255412319,Savings,313,1,Decadeinvestment,6301.99,2152.81
1294,3387,"2023-07-17",6221773017,Investment,476,5,Musicinvestment,1662.95,16.63
1336,60411,"2023-08-28",2027696396,Investment,719,1,Decadeinvestment,6268.28,3838.56
1418,35689,"2023-11-18",3080407149,Savings,579,1,Decadeinvestment,5976.4,10856.32
1755,75662,"2024-10-20",2768618389,Savings,681,1,Decadeinvestment,5622.39,11820.36
1030,23566,"2022-10-26",2829800635,Investment,521,4,Characterinvestment,9180.92,12047.21
263,14169,"2020-09-19",1810851648,Savings,657,4,Characterinvestment,7089.89,-326.71
1154,17126,"2023-02-27",1075123078,Savings,411,1,Decadeinvestment,3826.39,-3192.1
541,26548,"2021-06-24",9287849202,Investment,790,4,Characterinvestment,1647.21,-4898.72
1755,43300,"2024-10-20",5975269469,Checking,732,2,Helpinvestment,9294.58,8232.23
844,71630,"2022-04-23",1133303244,Investment,729,4,Characterinvestment,3682.63,10300.26
464,42820,"2021-04-08",6440589972,Investment,338,1,Decadeinvestment,1637.46,8954.13
984,84917,"2022-09-10",1764838640,Investment,783,3,Clearinvestment,1932.67,10962.95
827,37861,"2022-04-06",2768618389,Savings,681,3,Clearinvestment,4661.1,8155.68
1757,27510,"2024-10-22",9543734386,Savings,612,3,Clearinvestment,2670.17,-4294.72
1274,43156,"2023-06-27",3274150100,Investment,660,3,Clearinvestment,2454.5,6085.89
930,8969,"2022-07-18",8138063800,Savings,601,2,Helpinvestment,1022.0,14947.83
631,76859,"2021-09-22",6065704667,Checking,350,1,Decadeinvestment,9917.43,-1053.56
973,54506,"2022-08-30",5002360478,Investment,467,2,Helpinvestment,3683.71,12742.97
1215,27441,"2023-04-29",3302270666,Savings,726,3,Clearinvestment,9543.39,12818.53
678,7013,"2021-11-08",6556879216,Savings,462,1,Decadeinvestment,6017.37,7369.11
1593,35032,"2024-05-11",2171840078,Savings,836,3,Clearinvestment,9193.27,-516.68
1215,75581,"2023-04-29",5646590499,Investment,814,2,Helpinvestment,3584.75,-4379.6
906,10658,"2022-06-24",5988217223,Checking,760,2,Helpinvestment,4759.38,-3248.5
1116,74882,"2023-01-20",7850976653,Investment,698,4,Characterinvestment,8713.31,1921.81
1295,75568,"2023-07-18",3040393128,Checking,439,4,Characterinvestment,4810.91,-3839.36
1171,48390,"2023-03-16",7156618058,Savings,644,3,Clearinvestment,1925.51,7678.05
1681,6260,"2024-08-07",9367791903,Investment,461,5,Musicinvestment,7358.16,9223.52
209,81195,"2020-07-27",1594417161,Investment,415,2,Helpinvestment,9968.12,4632.64
315,93709,"2020-11-10",5623049910,Checking,438,2,Helpinvestment,6253.88,6227.92
82,1008,"2020-03-22",3274150100,Investment,660,5,Musicinvestment,3732.0,12391.95
276,49009,"2020-10-02",9343070075,Investment,339,4,Characterinvestment,1531.64,-3177.48
483,86959,"2021-04-27",5975269469,Checking,732,1,Decadeinvestment,4355.68,-4479.83
219,72599,"2020-08-06",3302270666,Savings,726,2,Helpinvestment,9330.53,-800.72
791,51471,"2022-03-01",6065704667,Checking,350,5,Musicinvestment,6719.55,4798.68
1269,62448,"2023-06-22",5988217223,Checking,760,1,Decadeinvestment,2473.84,6497.86
1498,72209,"2024-02-06",9559156298,Investment,490,3,Clearinvestment,9064.74,13558.57
1450,74462,"2023-12-20",4959466220,Investment,521,1,Decadeinvestment,7648.64,6877.23
311,41830,"2020-11-06",9343070075,Investment,339,5,Musicinvestment,8761.82,2910.88
588,32083,"2021-08-10",5255412319,Savings,313,3,Clearinvestment,2824.24,12793.81
547,57489,"2021-06-30",2988264762,Checking,843,2,Helpinvestment,7282.55,-3382.47
1117,55092,"2023-01-21",1210678639,Investment,518,1,Decadeinvestment,5350.89,1887.66
517,77047,"2021-05-31",2829800635,Investment,521,4,Characterinvestment,5666.91,-2683.82
784,29358,"2022-02-22",7850976653,Investment,698,2,Helpinvestment,3242.15,-3792.5
1547,11160,"2024-03-26",4155141978,Investment,700,1,Decadeinvestment,1738.71,2321.02
1364,15978,"2023-09-25",6196253681,Savings,834,3,Clearinvestment,2846.76,10431.49
1195,77723,"2023-04-09",7413651771,Checking,442,2,Helpinvestment,8033.58,-292.87
1815,16947,"2024-12-19",2507273526,Savings,778,2,Helpinvestment,8239.22,-3120.13
713,58435,"2021-12-13",7146993266,Savings,670,2,Helpinvestment,9934.6,9760.59
1715,4470,"2024-09-10",8735587101,Checking,836,1,Decadeinvestment,6225.44,14337.94
822,80593,"2022-04-01",3938325125,Savings,653,2,Helpinvestment,5600.24,6512.01
355,51784,"2020-12-20",3221389644,Savings,600,4,Characterinvestment,9232.85,-2997.86
1811,81338,"2024-12-15",2829800635,Investment,521,4,Characterinvestment,6966.0,10248.08
1065,32524,"2022-11-30",7146993266,Savings,670,4,Characterinvestment,7744.02,8695.67
360,5688,"2020-12-25",1764838640,Investment,783,4,Characterinvestment,7908.55,9823.26
405,13303,"2021-02-08",3126616099,Savings,443,1,Decadeinvestment,7632.26,-3298.23
1407,41630,"2023-11-07",2743334768,Investment,398,1,Decadeinvestment,3875.61,-2486.27
713,88286,"2021-12-13",7850976653,Investment,698,2,Helpinvestment,1918.72,13385.5
1673,39796,"2024-07-30",1905214712,Checking,323,5,Musicinvestment,9204.44,-1190.48
1596,41754,"2024-05-14",7146993266,Savings,670,5,Musicinvestment,8541.47,1309.4
353,91509,"2020-12-18",8330786189,Savings,416,4,Characterinvestment,6506.89,-4827.02
1479,2568,"2024-01-18",4959466220,Investment,521,4,Characterinvestment,6107.03,-840.01
170,15660,"2020-06-18",5341948287,Savings,705,5,Musicinvestment,5023.44,3068.76
856,21544,"2022-05-05",2988264762,Checking,843,3,Clearinvestment,3873.24,7661.92
757,53970,"2022-01-26",6983934777,Investment,456,2,Helpinvestment,7645.19,-2955.19
1183,16269,"2023-03-28",8512646775,Savings,664,5,Musicinvestment,9197.08,11283.04
1326,38310,"2023-08-18",6656233056,Investment,418,3,Clearinvestment,6783.72,-431.73
1263,76969,"2023-06-16",2027696396,Investment,719,2,Helpinvestment,8059.83,13067.49
1094,97305,"2022-12-29",1810851648,Savings,657,3,Clearinvestment,3813.32,13263.94
1522,51398,"2024-03-01",4187234787,Savings,615,2,Helpinvestment,2467.68,2061.93
795,86189,"2022-03-05",2389511583,Savings,819,5,Musicinvestment,3324.27,13165.24
1253,25564,"2023-06-06",3249098952,Savings,523,3,Clearinvestment,6567.1,3128.47
259,66583,"2020-09-15",3040393128,Checking,439,4,Characterinvestment,9843.43,-368.72
